City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Mysliborz,92,PL,1552233917,46,4.23,52.92,14.87,79
Coolum Beach,12,AU,1552233638,75.99,6.8,-26.53,153.09,84
Kumluca,0,TR,1552233921,58.81,1.99,36.37,30.29,14
Den Helder,75,NL,1552233909,41,14.99,52.96,4.76,93
Cam Ranh,20,VN,1552230000,86,3.36,11.92,109.15,70
Egvekinot,32,RU,1552233922,-2.62,15.41,66.32,-179.17,68
Kruisfontein,88,ZA,1552233925,67.4,19.37,-34,24.73,83
Itarema,80,BR,1552233926,81.8,8.81,-2.92,-39.92,92
Saint Anthony,1,US,1552233360,21.2,3.6,43.97,-111.68,62
Almeirim,0,PT,1552233907,71.01,12.75,39.21,-8.63,63
Hachinohe,36,JP,1552233609,36,1.01,40.47,141.48,68
Coihaique,0,CL,1552233600,68,3.36,-45.58,-72.07,55
Bocaiuva,0,BR,1552233927,86.03,4.23,-17.12,-43.81,62
Dondo,0,MZ,1552233927,83.29,11.32,-19.62,34.74,67
Eufaula,90,US,1552233620,72,8.05,31.89,-85.15,83
Tobane,40,BW,1552230000,91.4,14.12,-21.91,28.04,38
Linjiang,36,CN,1552233927,26.32,2.33,41.81,126.91,76
Kayerkan,80,RU,1552233928,13.13,27.98,69.35,87.76,80
Tomatlan,0,MX,1552233928,70.28,2.33,19.93,-105.25,74
Margherita,76,IN,1552233928,58.13,2.37,27.29,95.67,79
Fallon,1,US,1552229760,5,5.82,46.84,-105.12,77
Junagarh,20,IN,1552233928,80.59,5.91,19.86,82.94,41
Governador Valadares,0,BR,1552233929,92.47,4.61,-18.85,-41.95,48
Mangaratiba,40,BR,1552230000,91.4,18.34,-22.96,-44.04,70
Pokaran,100,IN,1552233929,78.2,10.65,26.93,71.92,31
Gizo,75,IL,1552233846,62.01,6.93,31.8,34.94,59
Brownwood,75,US,1552233722,57.99,10.29,31.71,-98.99,71
Suratgarh,0,IN,1552233930,65.29,4.9,29.32,73.9,28
Constitucion,20,MX,1552233616,63,5.82,23.99,-104.67,26
Suceveni,0,RO,1552231800,60.8,18.34,46.54,27.65,29
Price,90,US,1552233681,33.01,5.82,39.6,-110.81,84
Bijar,20,IR,1552233931,44.77,9.86,35.87,47.6,32
Talara,0,PE,1552230000,62.6,3.36,-4.58,-81.27,290
Bowen,44,AU,1552233859,73.99,5.82,-20.01,148.25,94
Lorengau,92,PG,1552233931,82.03,12.88,-2.02,147.27,100
Oriximina,92,BR,1552233931,77.62,1.81,-1.77,-55.87,96
Narsaq,8,GL,1552229400,30.2,3.36,60.91,-46.05,54
West Bay,40,GB,1552233916,50,20.8,50.71,-2.76,65
Garhi Khairo,20,PK,1552233932,58.58,5.01,28.06,67.98,96
Laredo,75,US,1552233611,75.2,11.41,27.51,-99.51,78
Kahului,1,US,1552233714,75.2,23.04,20.89,-156.47,60
Port Said,8,EG,1552233980,79.46,12.88,25.34,30.55,15
Griffith,0,AU,1552230000,66.2,5.82,-34.29,146.06,55
Aksu,0,KZ,1552233600,10.4,6.71,52.04,76.93,92
Nicoya,0,CR,1552233600,89.6,24.16,10.15,-85.45,43
Kingman,75,US,1552233812,55.99,4.61,35.19,-114.05,50
Nawa,0,IN,1552233981,68.71,8.75,27.02,75,40
Streator,90,US,1552233908,36,24.16,41.12,-88.84,94
Ancud,0,CL,1552233600,75.2,5.82,-41.87,-73.83,47
Zhanaozen,0,KZ,1552233982,54.4,13.96,43.35,52.85,32
Navirai,8,BR,1552233982,84.41,6.02,-23.07,-54.19,91
San Angelo,90,US,1552233785,57,20.8,31.46,-100.44,66
Marsh Harbour,0,BS,1552233982,75.95,14.97,26.54,-77.06,100
Gushikawa,40,JP,1552233793,66.2,11.41,26.35,127.87,72
Ust-Nera,48,RU,1552233983,-23.37,2.04,64.57,143.24,30
Abilene,90,US,1552233914,46.4,11.41,32.45,-99.73,75
Horta,0,ES,1552233945,72,11.41,41.43,2.16,55
San Antonio,0,CL,1552233600,71.6,9.17,-33.58,-71.61,56
Nago,0,IT,1552233969,64,6.93,45.88,10.89,55
Mirandola,0,IT,1552233948,66,3.36,44.89,11.07,55
Challans,20,FR,1552233814,55.99,17.22,46.85,-1.88,58
Barra do Garcas,75,BR,1552230000,87.8,2.24,-15.89,-52.26,52
Dawson Creek,1,CA,1552230000,17.6,2.24,55.76,-120.23,77
Garh Maharaja,92,PK,1552233987,63.58,4.56,30.83,71.9,65
Lhokseumawe,12,ID,1552233987,79.96,8.41,5.18,97.15,100
Rio Gallegos,0,AR,1552230000,62.6,8.05,-51.62,-69.22,51
Nome,90,US,1552233980,75.2,3.36,30.04,-94.42,94
Puerto Escondido,40,MX,1552232400,82.4,5.82,15.86,-97.07,69
Huangmei,0,CN,1552233988,48.91,5.57,30.1,115.95,89
Exeter,40,GB,1552233974,48.99,20.8,50.73,-3.53,65
Tual,80,ID,1552233989,79.1,15.64,-5.67,132.75,100
Asyut,0,EG,1552230000,75.2,18.34,27.18,31.19,31
Sumenep,0,ID,1552233989,83.78,3.27,-7.02,113.87,96
Datong,0,CN,1552233830,27.58,12.95,40.09,113.3,63
Umm Lajj,0,SA,1552233990,77.48,12.44,25.02,37.27,56
Greymouth,80,NZ,1552233990,60.79,4.83,-42.45,171.21,95
Galveston,90,US,1552233973,37.99,25.28,40.58,-86.19,80
Nantucket,90,US,1552233938,39,19.46,41.28,-70.1,93
Las Vegas,1,US,1552233940,51.01,2.55,36.17,-115.15,39
Bandarbeyla,0,SO,1552233994,79.55,18.14,9.49,50.81,100
Belmonte,0,PT,1552233819,61,3,40.36,-7.35,78
Pacific Grove,20,US,1552233978,48.99,3.36,36.62,-121.92,87
Igarka,76,RU,1552233995,15.07,22.84,67.47,86.57,85
Damghan,0,IR,1552234040,43.96,2.71,36.17,54.34,74
Havelock,20,US,1552233965,77,13.87,34.88,-76.9,65
Mae Hong Son,0,MM,1552234040,66.91,1.81,19.3,97.96,71
Westport,40,IE,1552234023,42.01,24.16,53.8,-9.52,74
Champerico,5,MX,1552232400,84.2,5.82,16.38,-93.6,48
Parabel,80,RU,1552234041,26.41,12.84,58.71,81.5,60
La Paz,20,MX,1552232400,64.4,3.36,24.15,-110.32,55
Vrangel,68,RU,1552234041,33.97,7.14,42.73,133.08,100
Malanje,20,AO,1552234042,82.43,5.35,-9.54,16.35,58
Telimele,0,GN,1552234042,97.73,4.05,10.9,-13.03,21
Sao Joao da Barra,40,BR,1552233600,93.2,9.17,-21.64,-41.05,52
Quime,32,BO,1552234042,60.25,1.99,-16.98,-67.22,63
Linkuva,75,LT,1552231200,35.6,10.29,56.09,23.97,100
Lahaina,1,US,1552233714,73.4,18.34,20.87,-156.68,64
Batagay-Alyta,32,RU,1552234043,-19.99,2.82,67.8,130.41,26
Natal,40,BR,1552233600,89.6,16.11,-5.81,-35.21,52
Mountain Home,1,US,1552233944,33.01,2.59,43.13,-115.69,100
Alamogordo,1,US,1552233805,57.99,3.36,32.9,-105.96,27
Khunti,0,IN,1552230000,75.2,5.23,23.08,85.28,38
Zyryanka,68,RU,1552234044,-8.88,2.33,65.73,150.89,65
Humberto de Campos,64,BR,1552234044,81.22,9.42,-2.6,-43.46,100
Nelson Bay,90,AU,1552233704,78.01,6.93,-32.72,152.14,73
Oistins,40,BB,1552230000,84.2,23.04,13.07,-59.53,62
Leh,20,IN,1552233898,-12.97,0.98,34.16,77.58,59
Taber,5,CA,1552230000,3.2,11.41,49.79,-112.14,84
Falam,0,MM,1552234045,53.77,1.77,22.91,93.68,77
Lazaro Cardenas,90,MX,1552233845,63,5.82,28.39,-105.62,41
Macklin,0,CA,1552234045,-7.89,3,52.34,-109.94,43
Mount Isa,0,AU,1552230000,80.6,5.82,-20.73,139.49,54
Udimskiy,44,RU,1552234046,33.07,13.78,61.14,45.92,88
Kwinana,0,AU,1552233993,73,8.05,-32.25,115.77,88
Tignere,48,CM,1552234046,92.06,9.42,7.37,12.65,20
Madinat Sittah Uktubar,0,EG,1552233774,71.6,11.41,29.82,31.05,37
Barao de Melgaco,40,BR,1552233600,89.6,8.05,-16.19,-55.97,59
Caboolture,0,AU,1552233769,78.01,19.46,-27.08,152.95,83
Kuching,75,MY,1552231800,77,3.36,1.56,110.34,83
Amapa,20,HN,1552233600,86,1.7,15.09,-87.97,58
Keetmanshoop,0,NA,1552234047,78.34,5.91,-26.57,18.15,15
Naron,75,ES,1552233842,57.99,6.93,43.52,-8.15,76
Benguela,44,AO,1552234048,84.68,8.52,-12.58,13.4,90
Comodoro Rivadavia,0,AR,1552230000,87.8,14.99,-45.87,-67.48,15
Padang,75,ID,1552230000,75.2,5.82,-0.92,100.36,94
Yulara,0,AU,1552230000,89.6,6.93,-25.24,130.99,15
Ravne,0,BA,1552233600,64.4,12.75,44.62,17.98,34
Coari,64,BR,1552234049,81.71,3.49,-4.09,-63.14,84
Rognan,20,NO,1552233896,28.4,8.05,67.1,15.4,42
Ron Phibun,20,TH,1552234049,72.35,0.76,8.18,99.85,93
Luanda,75,AO,1552230000,91.4,11.41,-8.83,13.24,63
